RequestId,Date Initiated,Description,Address,Zip Code,Initiated By,Date Time Closed,Status,X Coordinate,Y Coordinate,lon,lat,Request Type,Proactive,Initiated by Resident,Received by Engineer,Resident Contacted,On Hold Pending Other Action,Date In Progress,Date Complete
335927,8/1/2017 10:21,Neighborhood Traffic Issue,6000 WALLIS DR,,"Integration, Citysourced",8/2/2017 7:22,CLOSED,2478780.026,7115731.202,33.17847619,-96.83206144,,,,,,,,
335928,8/1/2017 10:44,Neighborhood Traffic Issue,7000 BRAMBLEBUSH DR,,"Integration, Citysourced",8/2/2017 7:39,CLOSED,2481338.951,7113796.849,33.17304819,-96.82379944,,,,,,,,
336141,8/2/2017 1:38,Neighborhood Traffic Issue,3300 PANTHER CREEK PKWY,75033,"Integration, Citysourced",8/2/2017 2:53,CLOSED,2470656.939,7119992.492,33.1905389,-96.85839116,,,,,,,,
336490,8/3/2017 3:30,Neighborhood Traffic Issue,5900 ALL STARS AVE,75033,"Integration, Citysourced",8/3/2017 3:50,CLOSED,2478387.95,7110414.308,33.16388119,-96.83361844,,,,,,,,
337254,8/8/2017 4:40,Neighborhood Traffic Issue,11500 FRONTIER DR,,"Integration, Citysourced",9/14/2017 9:53,CLOSED,2465774.815,7113910.308,33.17403219,-96.87465643,,,,,,,,
337463,8/9/2017 5:17,Neighborhood Traffic Issue,6th & Walnut,,Staff,,IP,2481925.86,7106240.06,33.15225457,-96.82227589,,,,,,,,
337464,8/9/2017 5:26,Neighborhood Traffic Issue,5th Street,,Staff,,IP,2481569.09,7106299.95,33.15243482,-96.82343839,,,,,,,,
337828,8/11/2017 12:57,Neighborhood Traffic Issue,9000 PRESTON VINEYARD DR,,"Integration, Citysourced",12/5/2017 8:23,CLOSED,2487691.75,7099646.687,33.13387988,-96.80378576,,,,,,,,
338322,8/15/2017 10:39,Neighborhood Traffic Issue,13700 ALLEGHENY DR,,"Integration, Citysourced",9/1/2018 12:03,CLOSED,2501418.38,7112929.539,33.16976685,-96.75822916,,,,,,,,
338430,8/15/2017 8:57,Neighborhood Traffic Issue,1000 ANGEL FALLS DR,,"Integration, Citysourced",8/16/2017 11:00,CLOSED,2463432.537,7103942.799,33.1467382,-96.88281243,,,,,,,,
338458,8/16/2017 9:42,Neighborhood Traffic Issue,6800 JOHN HICKMAN PKWY,75034,"Integration, Citysourced",8/16/2017 2:03,CLOSED,2480847.939,7093179.183,33.1164072,-96.82647745,,,,,,,,
339179,8/21/2017 10:39,Neighborhood Traffic Issue,400 OLD NEWMAN RD 1,,"Integration, Citysourced",2/20/2018 1:33,CLOSED,2461233.113,7104970.771,33.1496562,-96.88994643,,,,,,,,
339295,8/22/2017 7:50,Neighborhood Traffic Issue,4800 TEXOMA DR,,"Integration, Citysourced",10/9/2018 3:03,CLOSED,2474586.638,7118286.934,33.18568219,-96.84563444,,,,,,,,
339695,8/23/2017 4:24,Neighborhood Traffic Issue,Lebanon & Compass,,Staff,2/15/2018 3:31,CLOSED,2474663.46,7092521.3,33.1148683,-96.84670876,,,,,,,,
339699,8/23/2017 4:39,Neighborhood Traffic Issue,N. County & All Stars,,Staff,8/28/2019 3:41,CLOSED,2482405.65,7110370.26,33.16358429,-96.8204926,SIGN,NO - RESIDENT / OTHER,,8/23/2019 12:00,,,,8/28/2019 12:00
339775,8/24/2017 9:17,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",8/24/2017 10:37,CLOSED,2467560.3,7097685.55,33.1293662,-96.86964443,,,,,,,,
339781,8/24/2017 9:35,Neighborhood Traffic Issue,7700 AMBERDALE LN,,"Integration, Citysourced",8/24/2017 11:08,CLOSED,2469011.594,7103046.372,33.1440372,-96.86463144,,,,,,,,
339782,8/24/2017 9:35,Neighborhood Traffic Issue,6800 PECAN CHASE LN,,"Integration, Citysourced",8/24/2017 1:16,CLOSED,2467903.794,7099951.551,33.13557914,-96.86840751,,,,,,,,
339821,8/24/2017 11:20,Neighborhood Traffic Issue,7700 AMBERDALE LN,,"Integration, Citysourced",8/24/2017 1:39,CLOSED,2469007.196,7103014.283,33.1439492,-96.86464744,,,,,,,,
339837,8/24/2017 12:11,Neighborhood Traffic Issue,7700 AMBERDALE LN,,"Integration, Citysourced",8/24/2017 1:23,CLOSED,2469009.536,7103021.233,33.1439682,-96.86463944,,,,,,,,
339896,8/24/2017 2:34,Neighborhood Traffic Issue,3000 STONEBROOK PKWY,,"Integration, Citysourced",10/9/2018 4:23,CLOSED,2469129.92,7098749.511,33.1322232,-96.86446344,,,,,,,,
339934,8/24/2017 4:34,Neighborhood Traffic Issue,3007 BAINBRIDGE LN,,"Integration, Citysourced",8/30/2017 9:03,CLOSED,2469404.121,7099286.843,33.1336882,-96.86354044,,,,,,,,
340185,8/25/2017 3:13,Neighborhood Traffic Issue,Honey Grove Drive,,Staff,10/18/2017 9:33,CLOSED,2495697.92,7118682.7,33.18583704,-96.77661389,,,,,,,,
340224,8/25/2017 6:25,Neighborhood Traffic Issue,2900 FAYETTE TRL,,"Integration, Citysourced",8/28/2017 9:18,CLOSED,2469213.53,7101322.611,33.1392912,-96.86405944,,,,,,,,
341030,8/30/2017 3:43,Neighborhood Traffic Issue,6300 PLUM CREEK DR,,"Integration, Citysourced",9/15/2017 2:14,CLOSED,2466673.026,7098280.9,33.1310402,-96.87251243,,,,,,,,
341325,8/31/2017 3:48,Neighborhood Traffic Issue,6300 PLUM CREEK DR,,"Integration, Citysourced",9/5/2017 11:27,CLOSED,2466654.783,7098252.963,33.1309642,-96.87257344,,,,,,,,
341344,8/31/2017 5:12,Neighborhood Traffic Issue,7200 LEBANON RD,75034,"Integration, Citysourced",9/1/2017 10:44,CLOSED,2482166.749,7095881.915,33.1237772,-96.82202945,,,,,,,,
341493,9/1/2017 3:38,Neighborhood Traffic Issue,6300 PLUM CREEK DR,,"Integration, Citysourced",9/5/2017 11:29,CLOSED,2466651.861,7098283.483,33.1310482,-96.87258144,,,,,,,,
341494,9/1/2017 3:42,Neighborhood Traffic Issue,6300 PLUM CREEK DR,,"Integration, Citysourced",9/5/2017 11:28,CLOSED,2466618.813,7098302.256,33.1311012,-96.87268843,,,,,,,,
341498,9/1/2017 3:46,Neighborhood Traffic Issue,6300 PLUM CREEK DR,,"Integration, Citysourced",9/5/2017 11:29,CLOSED,2466654.829,7098250.053,33.1309562,-96.87257343,,,,,,,,
341499,9/1/2017 4:13,Neighborhood Traffic Issue,6300 PLUM CREEK DR,,"Integration, Citysourced",9/5/2017 11:30,CLOSED,2466663.904,7098257.107,33.1309752,-96.87254343,,,,,,,,
341507,9/1/2017 5:35,Neighborhood Traffic Issue,TEEL PKWY & BENSON DR,75034,Staff,3/9/2018 2:33,CLOSED,2467633.22,7098424.83,33.13139483,-96.86936877,,,,,,,,
341985,9/6/2017 2:26,Neighborhood Traffic Issue,FM 423 & Rockhill,,Staff,9/6/2017 2:32,CLOSED,2463817.71,7127310.31,33.21094177,-96.88037703,,,,,,,,
342277,9/8/2017 12:16,Neighborhood Traffic Issue,Saturina Drive,,Staff,11/13/2017 9:56,CLOSED,2503031.01,7110222.2,33.16225292,-96.75310659,,,,,,,,
342722,9/11/2017 2:24,Neighborhood Traffic Issue,Benson and Teel,75034,Staff,3/9/2018 2:31,CLOSED,2467725.79,7098438.62,33.13142878,-96.8690657,,,,,,,,
342905,9/12/2017 11:36,Neighborhood Traffic Issue,14400 ELDORADO PKWY,,"Integration, Citysourced",9/12/2017 10:03,CLOSED,2503843.722,7114661.761,33.17441658,-96.75020943,,,,,,,,
343005,9/12/2017 4:56,Neighborhood Traffic Issue,Oleander Drive,,Staff,9/13/2017 5:45,CLOSED,2501370.31,7114095.2,33.17297252,-96.75832308,,,,,,,,
343648,9/16/2017 9:35,Neighborhood Traffic Issue,3100 BAINBRIDGE LN,,"Integration, Citysourced",9/1/2018 12:06,CLOSED,2469854.129,7099189.791,33.1334022,-96.86207544,,,,,,,,
343748,9/18/2017 9:38,Neighborhood Traffic Issue,2000 CEDAR RANCH RD,75034,Staff,9/29/2017 3:06,CLOSED,2466659.41,7098253.65,33.13096589,-96.87255829,,,,,,,,
344004,9/19/2017 8:07,Neighborhood Traffic Issue,4700 PANTHER CREEK PKWY,75033,"Integration, Citysourced",9/26/2017 4:22,CLOSED,2474348.066,7119780.859,33.18979817,-96.84633732,,,,,,,,
344090,9/19/2017 12:32,Neighborhood Traffic Issue,HILLCREST RD & CANOE RD,75035,Staff,,IP,2493976.37,7104114.35,33.14587748,-96.78301883,,,,,,,,
344156,9/19/2017 8:13,Neighborhood Traffic Issue,4700 STONEBROOK PKWY,75034,"Integration, Citysourced",10/4/2017 11:21,CLOSED,2474499.55,7099051.519,33.1328222,-96.84690844,,,,,,,,
344479,9/21/2017 2:11,Neighborhood Traffic Issue,1300 SUNLAND PARK DR,,"Integration, Citysourced",3/9/2018 2:47,CLOSED,2464313.178,7113307.358,33.17243719,-96.87946343,,,,,,,,
344526,9/21/2017 5:33,Neighborhood Traffic Issue,4500 COTTON GIN RD,75034,"Integration, Citysourced",10/13/2017 3:14,CLOSED,2474055.048,7103820.319,33.14594733,-96.84811543,,,,,,,,
344801,9/25/2017 10:22,Neighborhood Traffic Issue,6900 THISTLEWOOD LN,75034,Staff,9/1/2018 12:13,CLOSED,2468916.62,7100135.9,33.1360425,-96.86508969,,,,,,,,
345141,9/26/2017 2:09,Neighborhood Traffic Issue,Shepherds Hill Neighborhood,,Staff,9/1/2018 12:21,CLOSED,2497187.5,7103393.64,33.14375212,-96.77256715,,,,,,,,
345536,9/28/2017 2:48,Neighborhood Traffic Issue,5300 DALLAS PKWY,75034,"Integration, Citysourced",10/19/2017 2:17,CLOSED,2482116.175,7095693.716,33.1232622,-96.82220445,,,,,,,,
345846,10/2/2017 8:46,Neighborhood Traffic Issue,12500 HARVEST MEADOW DR,,"Integration, Citysourced",2/20/2018 10:43,CLOSED,2474202.875,7117300.992,33.18298919,-96.84693944,,,,,,,,
346067,10/2/2017 9:08,Neighborhood Traffic Issue,12000 TYLER DR,,"Integration, Citysourced",3/21/2018 11:20,CLOSED,2496812.421,7117395.48,33.18224919,-96.77304046,,,,,,,,
346203,10/3/2017 1:43,Neighborhood Traffic Issue,1100 RANCH GATE LN,75034,Staff,10/5/2017 11:49,CLOSED,2463835.08,7094421.32,33.12055347,-96.88197647,,,,,,,,
346464,10/4/2017 11:46,Neighborhood Traffic Issue,Havenbrook & Summer Star,,Staff,,IP,2464034.32,7095822.15,33.12439492,-96.88125525,,,,,,,,
346513,10/4/2017 1:55,Neighborhood Traffic Issue,Spruce PIne Trail,,Staff,2/26/2018 9:38,CLOSED,2501974.42,7115051.32,33.17557259,-96.75629706,,,,,,,,
346535,10/4/2017 2:12,Neighborhood Traffic Issue,Nichols Trl & Flat Creek,,Staff,2/20/2018 11:01,CLOSED,2466175.23,7101723.18,33.14052172,-96.87396438,,,,,,,,
347370,10/10/2017 9:35,Neighborhood Traffic Issue,Cotton Gin Road,,Staff,10/10/2017 9:39,CLOSED,2475127.6,7103807.7,33.14586625,-96.84461213,,,,,,,,
347543,10/10/2017 3:50,Neighborhood Traffic Issue,14700 CRYSTAL BEACH LN,,"Integration, Citysourced",2/16/2018 11:46,CLOSED,2504641.067,7110096.761,33.1618345,-96.7478526,,,,,,,,
348179,10/12/2017 4:19,Neighborhood Traffic Issue,9700 DOWNBROOK DR,75033,Staff,6/4/2019 1:26,CLOSED,2463392,7108238.16,33.15854472,-96.88272882,,,,,,,,
348406,10/13/2017 2:42,Neighborhood Traffic Issue,THOMPSON CIR,75033,Staff,2/16/2018 11:49,CLOSED,2487380.57,7108777.69,33.15898788,-96.80432075,,,,,,,,
348444,10/13/2017 4:31,Neighborhood Traffic Issue,6300 NORWOOD DR,,"Integration, Citysourced",10/16/2017 10:49,CLOSED,2479319.23,7098666.1,33.13155353,-96.83118527,,,,,,,,
349084,10/17/2017 3:12,Neighborhood Traffic Issue,Kings Ridge Road,,Staff,9/1/2018 12:40,CLOSED,2491168.23,7105009.27,33.14846274,-96.7921452,,,,,,,,
349091,10/17/2017 3:41,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:14,CLOSED,2467625.761,7097689.113,33.1293732,-96.86943044,,,,,,,,
349125,10/17/2017 5:11,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:18,CLOSED,2467630.567,7097675.361,33.1293352,-96.86941544,,,,,,,,
349126,10/17/2017 5:23,Neighborhood Traffic Issue,2440 TIMBER RIDGE DR,,"Integration, Citysourced",10/18/2017 2:25,CLOSED,2467657.479,7097756.192,33.1295562,-96.86932343,,,,,,,,
349127,10/17/2017 5:29,Neighborhood Traffic Issue,6100 BAKER VALLEY RD,,"Integration, Citysourced",10/18/2017 2:29,CLOSED,2464706.12,7097838.229,33.1299072,-96.87895943,,,,,,,,
349128,10/17/2017 5:39,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:32,CLOSED,2467630.437,7097683.727,33.1293582,-96.86941544,,,,,,,,
349129,10/17/2017 5:40,Neighborhood Traffic Issue,2500 HIDDEN KNOLL TRL,,"Integration, Citysourced",10/18/2017 2:36,CLOSED,2467671.079,7097685.258,33.12936067,-96.86928261,,,,,,,,
349130,10/17/2017 5:51,Neighborhood Traffic Issue,2300 QUIET OAK LN,,"Integration, Citysourced",10/18/2017 2:39,CLOSED,2467604.444,7097701.517,33.1294082,-96.86949944,,,,,,,,
349131,10/17/2017 5:54,Neighborhood Traffic Issue,5600 BROOKHILL LN,,"Integration, Citysourced",10/18/2017 2:44,CLOSED,2468207.026,7096357.301,33.1256882,-96.86759944,,,,,,,,
349132,10/17/2017 5:55,Neighborhood Traffic Issue,2400 TIMBER RIDGE DR,,"Integration, Citysourced",10/18/2017 2:46,CLOSED,2467814.604,7097850.326,33.1298082,-96.86880544,,,,,,,,
